timestamp,open,high,low,close,volume
2024-02-01T00:00:00Z,42580.0,42687.63,42220.85,42474.95,1507.53813
2024-02-01T01:00:00Z,42474.96,42476.0,41884.28,41983.54,2384.42419
2024-02-01T02:00:00Z,41983.54,42176.87,41958.71,42162.56,1253.03633
2024-02-01T03:00:00Z,42162.55,42190.4,41958.71,42015.65,1014.26773
2024-02-01T04:00:00Z,42015.65,42141.68,41889.95,42073.43,1689.40041
2024-02-01T05:00:00Z,42073.43,42198.0,42028.41,42156.5,1043.08963
2024-02-01T06:00:00Z,42156.5,42225.47,42123.35,42192.4,1034.13285
2024-02-01T07:00:00Z,42192.39,42300.0,42124.59,42190.16,1046.12528
2024-02-01T08:00:00Z,42190.15,42250.0,42125.25,42244.54,819.12804
2024-02-01T09:00:00Z,42244.54,42261.81,42130.0,42148.31,744.12464
2024-02-01T10:00:00Z,42148.31,42331.1,42112.95,42226.02,1161.43848
2024-02-01T11:00:00Z,42226.01,42298.03,42026.52,42087.52,1278.06135
2024-02-01T12:00:00Z,42087.52,42237.24,41944.89,42142.8,1494.45184
2024-02-01T13:00:00Z,42142.81,42294.0,41981.17,42219.61,1253.09846
2024-02-01T14:00:00Z,42219.61,42657.48,42186.0,42651.1,2229.76128
2024-02-01T15:00:00Z,42651.1,42946.6,42516.11,42516.12,2881.0304
2024-02-01T16:00:00Z,42516.12,42698.0,42364.0,42658.15,1874.20315
2024-02-01T17:00:00Z,42658.15,43169.23,42628.0,42924.0,2693.82895
2024-02-01T18:00:00Z,42923.99,43053.03,42771.82,42847.06,1644.6931
2024-02-01T19:00:00Z,42847.07,43285.13,42831.11,43218.94,1870.84384
2024-02-01T20:00:00Z,43218.94,43279.91,42895.86,43011.83,1625.6493
2024-02-01T21:00:00Z,43011.83,43220.0,42967.19,43096.41,1259.54812
2024-02-01T22:00:00Z,43096.42,43111.1,42872.91,42927.11,731.61076
2024-02-01T23:00:00Z,42927.12,43086.13,42886.33,43082.94,697.56038
2024-02-02T00:00:00Z,43082.95,43432.63,43046.48,43174.41,1792.3848
2024-02-02T01:00:00Z,43174.41,43296.35,43104.79,43121.1,1034.42382
2024-02-02T02:00:00Z,43121.1,43200.0,43039.0,43080.41,963.35197
2024-02-02T03:00:00Z,43080.4,43108.48,43026.15,43037.25,456.17682
2024-02-02T04:00:00Z,43037.25,43061.11,42943.71,42966.65,530.31751
2024-02-02T05:00:00Z,42966.65,43140.25,42951.1,43103.97,726.6574
2024-02-02T06:00:00Z,43103.98,43271.1,43086.95,43165.0,1382.5648
2024-02-02T07:00:00Z,43165.0,43258.03,43086.89,43086.89,1424.82076
2024-02-02T08:00:00Z,43086.9,43107.97,42957.7,43015.99,1112.07579
2024-02-02T09:00:00Z,43015.99,43081.09,42957.43,42980.91,905.74704
2024-02-02T10:00:00Z,42980.91,43140.0,42941.1,43122.48,1137.69292
2024-02-02T11:00:00Z,43122.47,43199.0,43060.0,43148.41,939.24926
2024-02-02T12:00:00Z,43148.42,43239.57,43060.0,43130.81,1277.78253
2024-02-02T13:00:00Z,43130.81,43146.17,42546.79,42694.01,2822.02176
2024-02-02T14:00:00Z,42694.01,42913.01,42610.0,42805.35,1700.43067
2024-02-02T15:00:00Z,42805.35,43250.0,42750.0,43242.09,2693.30089
2024-02-02T16:00:00Z,43242.1,43488.0,43100.0,43216.36,2806.19754
2024-02-02T17:00:00Z,43216.35,43296.0,42901.1,42958.47,1481.05645
2024-02-02T18:00:00Z,42958.47,42990.0,42783.09,42928.01,1174.01302
2024-02-02T19:00:00Z,42928.0,43080.0,42920.36,43061.97,901.39668
2024-02-02T20:00:00Z,43061.98,43089.91,42900.48,42952.65,782.65743
2024-02-02T21:00:00Z,42952.65,43067.78,42950.63,42995.17,484.16268
2024-02-02T22:00:00Z,42995.16,43226.61,42995.16,43202.59,569.5409
2024-02-02T23:00:00Z,43202.6,43238.01,43132.46,43200.0,574.12074
2024-02-03T00:00:00Z,43199.99,43380.01,43151.11,43229.07,970.35215
2024-02-03T01:00:00Z,43229.07,43322.0,43192.79,43221.1,509.33294
2024-02-03T02:00:00Z,43221.11,43233.55,43154.28,43187.98,402.3204
2024-02-03T03:00:00Z,43187.98,43234.03,43142.0,43173.94,341.21743
2024-02-03T04:00:00Z,43173.95,43222.75,43153.68,43191.67,296.33943
2024-02-03T05:00:00Z,43191.66,43209.11,43095.56,43168.78,431.51848
2024-02-03T06:00:00Z,43168.78,43168.82,43081.1,43095.39,294.70009
2024-02-03T07:00:00Z,43095.39,43133.96,43040.0,43053.05,323.55811
2024-02-03T08:00:00Z,43053.05,43089.58,43004.0,43016.79,386.45599
2024-02-03T09:00:00Z,43016.78,43123.43,43016.78,43092.13,425.87144
2024-02-03T10:00:00Z,43092.12,43125.28,43041.79,43062.07,413.1643
2024-02-03T11:00:00Z,43062.07,43062.07,42973.66,42995.04,584.93265
2024-02-03T12:00:00Z,42995.04,43084.82,42974.99,43070.25,458.199
2024-02-03T13:00:00Z,43070.25,43093.52,43041.1,43071.59,329.10642
2024-02-03T14:00:00Z,43071.6,43081.96,43022.9,43042.27,414.56612
2024-02-03T15:00:00Z,43042.28,43190.0,42880.0,43119.06,1304.09113
